"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00093044","2020-02-25","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7",,,"   56",",,7","  -89",",,7",,,,,,,,,"    6",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-02-26","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7",,,"   78",",,7"," -133",",,7",,,,,,,,,"   11",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-02-27","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7",,,"  128",",,7"," -100",",,7",,,,,,,,,"  117",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-02-28","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7",,,"  150",",,7","  -83",",,7",,,,,,,,,"  122",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-02-29","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7",,,"  144",",,7","  -56",",,7",,,,,,,,,"  133",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-01","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  139",",,7","  -33",",,7",,,,,,,,,"  111",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-02","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  117",",,7","  -67",",,7",,,,,,,,,"   94",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-03","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  139",",,7","  -67",",,7",,,,,,,,,"  122",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-04","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  167",",,7","  -89",",,7",,,,,,,,,"  150",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-05","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  189",",,7","  -72",",,7",,,,,,,,,"  156",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-06","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  183",",,7","    0",",,7",,,,,,,,,"  156",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-07","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  200",",,7","    0",",,7",,,,,,,,,"  189",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-08","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  189",",,7","  -28",",,7",,,,,,,,,"  122",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-09","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  161",",,7","  -56",",,7",,,,,,,,,"  156",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-10","35.0705","-108.8388","1923.6","ZUNI, NM US","   13",",,7,1600","    0",",,7","    0",",,7","  161",",,7","   -6",",,7",,,,,,,,,"  100",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-11","35.0705","-108.8388","1923.6","ZUNI, NM US","   81",",,7,1600","    0",",,7","    0",",,7","  133",",,7","   56",",,7",,,,,,,,,"   94",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-12","35.0705","-108.8388","1923.6","ZUNI, NM US","   76",",,7,1600","    0",",,7","    0",",,7","  139",",,7","   56",",,7",,,,,,,,,"  128",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-13","35.0705","-108.8388","1923.6","ZUNI, NM US","   20",",,7,1600","    0",",,7","    0",",,7","  128",",,7","   22",",,7",,,,,,,,,"   94",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-14","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  139",",,7","  -22",",,7",,,,,,,,,"  133",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-15","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  167",",,7","  -11",",,7",,,,,,,,,"  161",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-16","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  189",",,7","  -33",",,7",,,,,,,,,"  183",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-17","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  189",",,7","  -11",",,7",,,,,,,,,"  150",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-18","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  150",",,7","  -44",",,7",,,,,,,,,"   94",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-19","35.0705","-108.8388","1923.6","ZUNI, NM US","  102",",,7,1600","    0",",,7","    0",",,7","   94",",,7","  -22",",,7",,,,,,,,,"   61",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-20","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  122",",,7","  -50",",,7",,,,,,,,,"  117",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-21","35.0705","-108.8388","1923.6","ZUNI, NM US",,,"    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-22","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  150",",,7","  -50",",,7",,,,,,,,,"  106",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-23","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  150",",,7","  -11",",,7",,,,,,,,,"  122",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-24","35.0705","-108.8388","1923.6","ZUNI, NM US",,,"    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-25","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  172",",,7","  -28",",,7",,,,,,,,,"  156",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-26","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  161",",,7","   22",",,7",,,,,,,,,"  150",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-27","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  161",",,7","  -33",",,7",,,,,,,,,"   -6",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-28","35.0705","-108.8388","1923.6","ZUNI, NM US","    5",",,7,1600","    0",",,7","    0",",,7","  161",",,7"," -111",",,7",,,,,,,,,"   89",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-29","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  167",",,7","  -39",",,7",,,,,,,,,"  156",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-30","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  156",",,7","  -44",",,7",,,,,,,,,"  133",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093044","2020-03-31","35.0705","-108.8388","1923.6","ZUNI, NM US","    0",",,7,1600","    0",",,7","    0",",,7","  189",",,7","  -44",",,7",,,,,,,,,"  183",",,7,1600",,,,,,,,,,,,,,,,,,,,,,,,,,
