"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00130923","2015-06-22","43.10554","-93.74444","371.9","BRITT 3 E, IA US","  279",",,7,0700","    0",",,7,0700","    0",",,7,0700","  294",",,7","  178",",,7",,,,,,,,,"  200",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-23","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","  139",",,7",,,,,,,,,"  150",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-24","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  283",",,7","  139",",,7",,,,,,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-25","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","  178",",,7",,,,,,,,,"  183",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-26","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","  183",",,7",,,,,,,,,"  183",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-28","43.10554","-93.74444","371.9","BRITT 3 E, IA US","   25",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7","  150",",,7",,,,,,,,,"  172",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-29","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  167",",,7",,,,,,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-06-30","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  261",",,7","  167",",,7",,,,,,,,,"  178",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-07-01","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","  106",",,7",,,,,,,,,"  144",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00130923","2015-07-02","43.10554","-93.74444","371.9","BRITT 3 E, IA US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700",,,"  100",",,7",,,,,,,,,"  106",",,7,0700",,,,,,,,,,,,,,,,,,,,,,,,,,,,
